"","204107_at","205833_s_at","213033_s_at","206686_at","204886_at","222031_at","219051_x_at","208711_s_at","208712_at","201504_s_at","209686_at","201656_at","219850_s_at","211363_s_at","219654_at","211466_at","201438_at","205478_at","201755_at","216685_s_at","204775_at","205240_at","202273_at","202310_s_at","220624_s_at","210683_at","204351_at","219970_at","1438_at","209290_s_at","209644_x_at","38241_at","205225_at","211233_x_at","211234_x_at","211235_s_at","211627_x_at","215551_at","215552_s_at","217163_at","217190_x_at","219197_s_at","grupos"
"GSM615098",6.83583447280987,7.18783216036941,7.72624522072971,6.73817504112307,4.77751870947305,4.799192113573,6.87446333831693,7.52684098242949,8.45419733840239,8.29218724120854,5.87491557812493,7.38080426169144,5.19241506180941,5.94338390231222,6.89521455627568,5.49539088651642,11.1570419629097,6.8373735051379,7.32060254948257,6.07262354154493,7.27536751909722,8.47267451669336,7.53579578361961,11.5722220479166,6.67971023371663,4.89347482139671,12.4406575385723,4.83711615039543,9.09429547286557,11.3916553711554,10.9375765275101,5.3923462550969,7.54193361894723,7.15448803709263,7.40226236616958,6.67115892219703,5.16706731304815,6.26526671176809,5.56556767033251,5.63173263064983,5.40989009890801,6.82021963919474,"RD"
"GSM615101",6.47855926157052,7.03565724171031,7.29704499313708,6.84101072892223,4.78428544134207,4.80195425497885,6.96986068258069,8.92891850343542,9.21283225171792,7.64146128999305,6.22461017038633,7.3604864560945,6.48339929721242,4.91684257084088,7.16155212589987,6.60370649527415,10.5185161231496,6.0093419155436,7.19992081913261,5.37324755377132,7.99672615501091,8.10861116476464,7.72748944193698,10.7004544250354,6.52147217246717,4.65619194729975,8.89347462865624,4.88777725179395,8.81525075930509,10.9429044191678,8.91809645526365,4.80218121100961,6.15708257773623,7.32229731288633,7.46348952887112,6.83057837204871,4.9387463905759,6.28541454461437,5.59933981194159,5.83818153995401,5.26623408432208,6.80637130000158,"RD"
"GSM615104",6.71339479191619,6.9440396984698,6.28124517126409,7.36732870520133,4.73586779403102,5.32221826043585,7.73083681832164,6.80289362637421,7.18279749811034,7.76106079115306,7.04892777149533,9.06766919634635,10.1793632565975,5.13559308435058,5.78023549894632,5.2019355588083,10.9335155964827,6.74773799956758,7.18308350728529,5.3193003639584,7.49513137311832,7.26201236143066,8.50844095532549,11.8438575388303,7.92459964200425,4.56193313297719,6.61800741388833,4.83275179799327,8.97629229026792,9.66384361395311,8.39770090236623,5.07926412222904,6.85133223767416,7.6229835382421,7.73334774607371,7.78311274176865,5.12590990693131,6.13155015382952,5.57654677326567,5.96023902980844,5.28778851974062,7.37596421703126,"RD"
"GSM615106",6.94376891727923,6.93657074564369,7.20226885357052,6.90549371819895,4.72001361054027,4.99469337150889,7.11887170438485,6.06433154026013,6.14493648581218,8.10806443925011,5.67864794317693,6.84297271730907,5.36143272588061,5.25496173013561,7.26000305475655,7.24765844080344,12.6593768322781,7.15601799990512,6.78610898275749,5.43371663900905,7.17572435899395,7.35646890437011,8.70710008231038,13.0431938753684,6.89867466812644,4.49881884018447,9.68077255216795,4.90452749002668,8.12124695767085,11.6662681923168,10.1385870774548,4.84805271707734,6.57173534837236,7.64315897563969,7.56201297083806,7.03064935534004,4.99142321615508,6.23938724314118,5.66338507559633,5.97715084173736,5.56522383246377,7.41717598062002,"RD"
"GSM615107",6.5854189068334,6.82646569237268,6.99603221722913,6.67575278988291,4.88139759414169,4.98771384137884,6.90288191242573,7.19793401135293,7.70786387580998,7.34088248517199,6.61668132024146,7.49268837155515,8.91918191706879,5.12439261824783,6.10387063524874,7.20469063766036,11.6874392737049,7.0385828052388,6.71985335030316,5.40573762020601,6.83540452428178,7.05667497676491,8.16688847052844,13.1375920726528,9.83954210373982,4.48155024343051,7.35952241496365,4.90962869986267,8.51953077266412,11.6958068175689,10.0238941207817,5.65776919735607,6.479766960654,7.41971161966633,7.33432035081594,6.9500958852604,4.89639807671708,6.27794604084374,5.58651222811825,5.98447437590499,5.40508764543618,6.94989626948923,"RD"
"GSM615109",6.61855917837057,6.91726988714987,6.27060542777347,6.67603520935358,4.72670578388463,5.06276548134371,7.40315839489081,8.82235548040448,9.35012079965312,7.41928673786591,5.7800472665528,6.25525556466928,8.16087374196373,5.22255307837893,6.03742781912808,5.16586653922089,11.1399503970115,6.27895285000176,7.14013959545071,5.34507354086108,7.10530889324343,7.95542157274069,8.04004896596039,12.3394111731326,6.2712326271361,4.76110556559816,8.05288954675177,5.05807521850807,8.31336177565154,10.0934178601102,10.6739940033867,6.10354435996599,6.48307981832509,7.37280394060508,7.58092443274019,6.94311861510076,4.99880889373613,6.40591591784717,5.50657483903583,5.86797225442474,5.53027247152601,6.75283475356305,"RD"
"GSM615111",7.21669328334892,7.53789192905173,7.84405306077153,7.09855113752566,4.69480989010333,5.0814210423804,7.23819051472542,5.72134807574692,6.2355666690323,7.91275569335243,5.95146559001632,8.01044903895312,7.38298768363274,5.21555030510849,7.59657179058741,6.90609367706946,9.38755176477302,7.40220225879429,6.60558976988178,5.66346850327304,6.950287460759,7.69334643456351,7.89504479279651,9.76529912516436,6.29038847435757,4.56813301573558,11.2089174490971,4.99056606248013,8.84059415531299,11.7456199035875,9.99149947442481,4.8564346696753,8.43803569756471,7.7466799616744,7.61891891355646,7.27477606490132,4.86836878085907,6.25769294391856,5.43838896167069,5.88979788494971,5.55930751755598,7.19493209072073,"RD"
"GSM615112",6.66977542740401,6.9854428747097,7.72082311948155,7.07283282710174,4.94322020558281,4.75665133198858,7.69787625946883,8.91102975494254,9.82711949679131,8.04677593159145,5.741489193258,7.42736809223828,6.28113268765693,5.79280172898826,6.47496257338674,7.1552021715285,10.3692805973508,6.10503991975309,7.01003666134233,5.92824989906895,7.48033946771394,8.65901562226077,7.48827518451916,11.4058585225357,7.30319889824327,4.501553490252,12.4521691136694,5.07214309303729,8.2071109107525,11.3581051011411,10.6175177474949,5.36587323932208,8.73484469098041,7.32000582433093,7.50454090287338,6.70068154498564,5.00596133864433,5.97429304853636,5.75764706253163,5.90117143341544,5.36527529067922,6.63793768386543,"RD"
"GSM615113",7.0724563831183,7.89150258577657,6.87878897183668,7.23132111695396,4.65544413326754,4.7635908152535,6.81056969855638,5.71369484420004,5.81692273683726,8.05924177476402,6.46819646981402,11.1237409882719,7.48211125823728,5.35928248454437,5.77366629679431,5.44188434552963,9.76224083185851,7.15788187792099,7.20737420211651,5.62642674284584,7.05366077867343,7.78919809878523,8.0599960120488,9.33555591287023,9.81156143707418,4.65381716621533,7.17535727728474,5.0565793259461,10.1089771603176,11.0354750737605,7.72825572791217,4.65932249366134,6.91670136276061,7.67232756012177,7.92510253792197,7.35477579830996,4.9110435702611,6.14938692575227,5.82568602280468,5.89911719701968,5.46051890894879,7.42946577958805,"RD"
"GSM615115",7.22498506041979,8.0027875123241,6.87944576790971,6.93883935326737,4.84769647078408,4.85432506180701,7.23826495645501,6.13153657205904,6.67825554719511,7.98613828452309,5.88898699534401,9.84784533460927,5.36486639553206,5.21329445818606,5.84556713603276,5.38806315798553,11.0047127231692,8.17551740149061,6.95047582455689,5.31808869107794,7.10959190925172,7.53533168465001,8.45497045535973,11.6234172713386,6.94876830312178,4.5021107066363,12.0274274668276,4.91640333768055,7.47671089971463,10.6762168524266,7.93128495817048,4.83970482843415,6.50768290212424,7.61981816630068,7.59886883773188,7.05766805134854,4.95152216951461,6.37635876628457,5.76221286146839,5.9815414655231,5.36424104282044,6.61796627395237,"RD"
